"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp","salary"
"bakersc02",2009,1,"MIN","AL",33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,750000
"baldero01",2009,1,"BOS","AL",62,150.0,23.0,38.0,4.0,1.0,7.0,23.0,1.0,0.0,11.0,37.0,0.0,2.0,0.0,1.0,6.0,500000
"balejo01",2009,1,"KCA","AL",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000
"balenwl01",2009,1,"SEA","AL",56,155.0,18.0,33.0,10.0,0.0,4.0,13.0,1.0,0.0,13.0,43.0,1.0,0.0,0.0,2.0,2.0,405000
"balfogr01",2009,1,"TBA","AL",73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000
"barajro01",2009,1,"TOR","AL",125,429.0,43.0,97.0,19.0,0.0,19.0,71.0,1.0,0.0,20.0,76.0,2.0,1.0,3.0,7.0,4.0,2500000
"bardebr01",2009,1,"SLN","NL",52,103.0,13.0,24.0,3.0,0.0,4.0,10.0,0.0,0.0,6.0,21.0,0.0,2.0,2.0,1.0,3.0,400000
"bardjo01",2009,1,"WAS","NL",90,274.0,20.0,63.0,18.0,0.0,6.0,31.0,0.0,1.0,24.0,50.0,1.0,1.0,1.0,1.0,5.0,1600000
"barfijo02",2009,1,"CLE","AL",17,20.0,5.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,416100
"barmecl01",2009,1,"COL","NL",154,550.0,69.0,135.0,32.0,3.0,23.0,76.0,12.0,10.0,31.0,121.0,2.0,10.0,6.0,7.0,6.0,1625000
"barremi01",2009,1,"TOR","AL",7,18.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,600000
"bartlja01",2009,1,"TBA","AL",137,500.0,90.0,160.0,29.0,7.0,14.0,66.0,30.0,7.0,54.0,89.0,2.0,5.0,4.0,4.0,5.0,1981250
"bassbr01",2009,1,"BAL","AL",48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,405000
"batismi01",2009,1,"SEA","AL",56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9500000
"bautijo02",2009,1,"TOR","AL",113,336.0,54.0,79.0,13.0,3.0,13.0,40.0,4.0,0.0,56.0,85.0,1.0,4.0,6.0,2.0,9.0,2400000
"bayja01",2009,1,"BOS","AL",151,531.0,103.0,142.0,29.0,3.0,36.0,119.0,13.0,3.0,94.0,162.0,4.0,9.0,0.0,4.0,9.0,7800000
"beckejo02",2009,1,"BOS","AL",32,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11166666
"bedarer01",2009,1,"SEA","AL",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7750000
"beimejo01",2009,1,"WAS","NL",45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000
"bellhe01",2009,1,"SDN","NL",68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1255000
"belliro01",2009,1,"WAS","NL",86,187.0,26.0,46.0,7.0,1.0,5.0,22.0,2.0,0.0,14.0,40.0,0.0,0.0,1.0,2.0,7.0,1900000
"beltrad01",2009,1,"SEA","AL",111,449.0,54.0,119.0,27.0,0.0,8.0,44.0,13.0,2.0,19.0,74.0,1.0,7.0,0.0,2.0,19.0,13400000
"beltrca01",2009,1,"NYN","NL",81,308.0,50.0,100.0,22.0,1.0,10.0,48.0,11.0,1.0,47.0,43.0,10.0,1.0,0.0,1.0,9.0,19243682
"benneje01",2009,1,"ATL","NL",33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,437500
"bensokr01",2009,1,"TEX","AL",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000
"berkmla01",2009,1,"HOU","NL",136,460.0,73.0,126.0,31.0,1.0,25.0,80.0,7.0,4.0,97.0,98.0,14.0,1.0,0.0,4.0,13.0,14500000
"betanra01",2009,1,"CLE","AL",29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350000
"betanyu01",2009,1,"SEA","AL",63,224.0,15.0,56.0,10.0,1.0,2.0,22.0,3.0,1.0,10.0,18.0,0.0,0.0,8.0,3.0,9.0,2300000
"betemwi01",2009,1,"CHA","AL",20,45.0,2.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,2.0,1300000
"billich01",2009,1,"LAN","NL",33,56.0,2.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,24.0,0.0,0.0,7.0,0.0,1.0,475000
"blackni01",2009,1,"MIN","AL",33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,440000
"blakeca01",2009,1,"LAN","NL",139,485.0,84.0,136.0,25.0,6.0,18.0,79.0,3.0,4.0,63.0,116.0,8.0,6.0,1.0,10.0,12.0,5000000
"blaloha01",2009,1,"TEX","AL",123,462.0,62.0,108.0,21.0,4.0,25.0,66.0,2.0,0.0,26.0,108.0,2.0,3.0,0.0,4.0,6.0,6200000
"blanche01",2009,1,"SDN","NL",67,204.0,21.0,48.0,12.0,0.0,6.0,16.0,0.0,0.0,26.0,50.0,2.0,0.0,1.0,1.0,5.0,750000
"blantjo01",2009,1,"PHI","NL",31,55.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,0.0,1.0,9.0,0.0,0.0,5475000
"blevije01",2009,1,"OAK","AL",20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405000
"bloomwi01",2009,1,"KCA","AL",125,434.0,52.0,115.0,11.0,8.0,4.0,29.0,25.0,6.0,27.0,73.0,1.0,1.0,4.0,2.0,7.0,1400000
"blumge01",2009,1,"HOU","NL",120,381.0,34.0,94.0,14.0,1.0,10.0,49.0,0.0,1.0,33.0,61.0,4.0,7.0,0.0,6.0,9.0,1250000
"bondeje01",2009,1,"DET","AL",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12500000
"bonifem01",2009,1,"FLO","NL",127,461.0,72.0,116.0,11.0,6.0,1.0,27.0,21.0,9.0,34.0,95.0,0.0,2.0,8.0,4.0,5.0,400000
"bonined01",2009,1,"DET","AL",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
"booneaa01",2009,1,"HOU","NL",10,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,750000
"bournmi01",2009,1,"HOU","NL",157,606.0,97.0,173.0,27.0,12.0,3.0,35.0,61.0,12.0,63.0,140.0,1.0,2.0,5.0,2.0,1.0,434500
"boyerbl01",2009,1,"ATL","NL",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432500
"bradeda01",2009,1,"OAK","AL",22,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,410000
"bradfch01",2009,1,"TBA","AL",21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3666666
"bradlmi01",2009,1,"CHN","NL",124,393.0,61.0,101.0,17.0,1.0,12.0,40.0,2.0,3.0,66.0,95.0,4.0,11.0,2.0,1.0,10.0,7000000
"branyru01",2009,1,"SEA","AL",116,431.0,64.0,108.0,21.0,1.0,31.0,76.0,2.0,0.0,58.0,149.0,6.0,9.0,1.0,6.0,6.0,1400000
"braunry02",2009,1,"MIL","NL",158,635.0,113.0,203.0,39.0,6.0,32.0,114.0,20.0,6.0,57.0,121.0,1.0,13.0,0.0,3.0,6.0,1032500
"breslcr01",2009,1,"MIN","AL",17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422000
"brocado01",2009,1,"HOU","NL",20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000
"broxtjo01",2009,1,"LAN","NL",73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825000
"bruceja01",2009,1,"CIN","NL",101,345.0,47.0,77.0,15.0,2.0,22.0,58.0,3.0,3.0,38.0,75.0,2.0,2.0,1.0,1.0,5.0,417500
"brunebr01",2009,1,"NYA","AL",44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250000
"brunter01",2009,1,"PHI","NL",72,105.0,15.0,18.0,7.0,0.0,0.0,7.0,2.0,0.0,5.0,26.0,0.0,3.0,2.0,3.0,2.0,800000
"buckjo01",2009,1,"KCA","AL",59,186.0,16.0,46.0,12.0,4.0,8.0,36.0,1.0,1.0,13.0,55.0,0.0,1.0,1.0,1.0,2.0,2900000
"bucknbi02",2009,1,"ARI","NL",16,21.0,0.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,403000
"bucktr01",2009,1,"OAK","AL",36,105.0,11.0,23.0,3.0,0.0,3.0,10.0,1.0,1.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,410000
"buehrma01",2009,1,"CHA","AL",33,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14000000
"bulgeja01",2009,1,"LAA","AL",64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403000
"burneaj01",2009,1,"NYA","AL",33,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16500000
"burnese01",2009,1,"PIT","NL",38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408500
"burrepa01",2009,1,"TBA","AL",122,412.0,45.0,91.0,16.0,1.0,14.0,64.0,2.0,0.0,57.0,119.0,2.0,2.0,0.0,5.0,6.0,7000000
"burriem01",2009,1,"SFN","NL",61,202.0,18.0,48.0,6.0,0.0,0.0,13.0,11.0,4.0,14.0,34.0,1.0,2.0,1.0,1.0,3.0,404000
"burtoja01",2009,1,"CIN","NL",53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,420000
"buschbr01",2009,1,"MIN","AL",61,136.0,14.0,32.0,3.0,1.0,2.0,12.0,0.0,0.0,24.0,35.0,0.0,3.0,0.0,1.0,3.0,412500
"bushda01",2009,1,"MIL","NL",22,34.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,2.0,0.0,0.0,4000000
"butlebi03",2009,1,"KCA","AL",159,608.0,78.0,183.0,51.0,1.0,21.0,93.0,1.0,0.0,58.0,103.0,3.0,2.0,0.0,4.0,20.0,421000
"byrdati01",2009,1,"HOU","NL",76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1000000
"byrdma01",2009,1,"TEX","AL",146,547.0,66.0,155.0,43.0,2.0,20.0,89.0,8.0,4.0,32.0,98.0,2.0,10.0,0.0,10.0,11.0,3060000
"byrneer01",2009,1,"ARI","NL",84,239.0,26.0,54.0,14.0,1.0,8.0,31.0,9.0,3.0,12.0,30.0,0.0,3.0,2.0,2.0,4.0,11666666
"cabreas01",2009,1,"CLE","AL",131,523.0,81.0,161.0,42.0,4.0,6.0,68.0,17.0,4.0,44.0,89.0,1.0,1.0,10.0,3.0,13.0,416700
"cabreda01",2009,1,"WAS","NL",9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,2.0,0.0,0.0,2600000
"cabreev01",2009,1,"SDN","NL",103,377.0,59.0,96.0,18.0,8.0,2.0,31.0,25.0,8.0,46.0,88.0,5.0,5.0,8.0,2.0,3.0,400000
"cabreme01",2009,1,"NYA","AL",154,485.0,66.0,133.0,28.0,1.0,13.0,68.0,10.0,2.0,43.0,59.0,4.0,4.0,4.0,4.0,15.0,1400000
"cabremi01",2009,1,"DET","AL",160,611.0,96.0,198.0,34.0,0.0,34.0,103.0,6.0,2.0,68.0,107.0,14.0,5.0,0.0,1.0,22.0,14383049
"cabreor01",2009,1,"OAK","AL",101,414.0,41.0,116.0,23.0,0.0,4.0,41.0,11.0,4.0,25.0,39.0,1.0,0.0,5.0,4.0,13.0,4000000
"cahiltr01",2009,1,"OAK","AL",32,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000
