,year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa,xbh,iso,bb/pa,so/pa,high_paid_y,high_paid_n
35,0,125,429,43,97,19,0,19,71,1,0,20,76,2,1,3,7,4,2500000,59,0.40326340326340326,0.25820568927789933,0.2261072261072261,0.6614690925413026,173,45.080178173719375,0.2287390029325513,460,38,19.132867132867133,0.043478260869565216,0.16521739130434782,0,1
36,0,52,103,13,24,3,0,4,10,0,0,6,21,0,2,2,1,3,400000,17,0.3786407766990291,0.2857142857142857,0.23300970873786409,0.6643550624133148,39,10.73394495412844,0.25316455696202533,114,7,3.116504854368932,0.05263157894736842,0.18421052631578946,1,0
37,0,90,274,20,63,18,0,6,31,0,1,24,50,1,1,1,1,5,1600000,39,0.3613138686131387,0.29333333333333333,0.22992700729927007,0.654647201946472,99,28.90268456375839,0.2602739726027397,301,24,18.065693430656935,0.07973421926910298,0.16611295681063123,0,1
38,0,17,20,5,8,1,0,0,2,0,1,0,7,0,0,0,0,0,416100,7,0.45,0.4,0.4,0.8500000000000001,9,3.6,0.6153846153846154,20,1,1.0,0.0,0.35,1,0
39,0,154,550,69,135,32,3,23,76,12,10,31,121,2,10,6,7,6,1625000,77,0.44,0.29431438127090304,0.24545454545454545,0.734314381270903,242,69.14285714285714,0.2711864406779661,604,58,38.125454545454545,0.05132450331125828,0.20033112582781457,0,1
40,0,7,18,3,3,0,0,1,2,0,0,1,5,1,0,0,0,0,600000,2,0.3333333333333333,0.21052631578947367,0.16666666666666666,0.5438596491228069,6,1.263157894736842,0.16666666666666666,19,1,0.16666666666666666,0.05263157894736842,0.2631578947368421,1,0
41,0,137,500,90,160,29,7,14,66,30,7,54,89,2,5,4,4,5,1981250,110,0.49,0.38898756660746003,0.32,0.87898756660746,245,94.63898916967509,0.3640897755610973,567,50,43.084,0.09523809523809523,0.15696649029982362,0,1
42,0,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,405000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,1.0,1,0
43,0,56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9500000,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,1.0,0,1
44,0,113,336,54,79,13,3,13,40,4,0,56,85,1,4,6,2,9,2400000,50,0.40773809523809523,0.3492462311557789,0.23511904761904762,0.7569843263938741,137,47.18112244897959,0.275,404,29,19.116071428571427,0.13861386138613863,0.2103960396039604,0,1
45,0,151,531,103,142,29,3,36,119,13,3,94,162,4,9,0,4,9,7800000,74,0.536723163841808,0.384012539184953,0.2674199623352166,0.9207357030267609,285,107.616,0.314540059347181,638,68,35.20338983050848,0.14733542319749215,0.25391849529780564,0,1
46,0,32,5,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,11166666,0,0.8,0.2,0.2,1.0,4,0.8,0.0,5,1,0.6,0.0,0.6,0,1
50,0,86,187,26,46,7,1,5,22,2,0,14,40,0,0,1,2,7,1900000,33,0.37433155080213903,0.2955665024630542,0.24598930481283424,0.6698980532651932,70,20.895522388059703,0.2847222222222222,204,13,9.080213903743315,0.06862745098039216,0.19607843137254902,0,1
51,0,111,449,54,119,27,0,8,44,13,2,19,74,1,7,0,2,19,13400000,84,0.37861915367483295,0.3039832285115304,0.2650334075723831,0.6826023821863634,170,50.12820512820513,0.3008130081300813,477,35,27.053452115812917,0.039832285115303984,0.15513626834381553,0,1
52,0,81,308,50,100,22,1,10,48,11,1,47,43,10,1,0,1,9,19243682,67,0.5,0.41456582633053224,0.3246753246753247,0.9145658263305323,154,63.76901408450704,0.3515625,357,33,24.0974025974026,0.13165266106442577,0.12044817927170869,0,1
