,year,team_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,salary,single,slg %,obp,batting avg,ops,tb,rc,babip,pa
21,2009,KCA,36,120.0,10.0,22.0,3.0,1.0,1.0,8.0,1.0,0.0,4.0,26.0,0.0,0.0,2.0,1.0,3.0,424500,17.0,0.25,0.208,0.18333333333333332,0.45799999999999996,30.0,6.290322580645161,0.22340425531914893,127.0
22,2009,MIN,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1300000,0.0,,,,,0.0,,,1.0
23,2009,LAA,137,504.0,70.0,157.0,23.0,9.0,5.0,58.0,14.0,7.0,30.0,54.0,1.0,5.0,12.0,5.0,9.0,460000,120.0,0.4226190476190476,0.35294117647058826,0.3115079365079365,0.7755602240896359,213.0,74.58988764044943,0.3377777777777778,556.0
24,2009,TBA,105,296.0,38.0,75.0,12.0,0.0,12.0,41.0,1.0,0.0,34.0,54.0,2.0,2.0,1.0,3.0,4.0,975000,51.0,0.4155405405405405,0.33134328358208953,0.2533783783783784,0.7468838241226301,123.0,40.627272727272725,0.2703862660944206,336.0
25,2009,HOU,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1550000,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,2.0
26,2009,BAL,59,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7166666,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
27,2009,OAK,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000,0.0,,,,,0.0,,,0.0
28,2009,COL,12,23.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,415000,2.0,0.21739130434782608,0.16666666666666666,0.13043478260869565,0.38405797101449274,5.0,0.8333333333333334,0.1875,24.0
29,2009,FLO,112,373.0,59.0,101.0,25.0,0.0,9.0,50.0,0.0,0.0,41.0,89.0,5.0,5.0,2.0,2.0,10.0,400000,67.0,0.4101876675603217,0.3491686460807601,0.2707774798927614,0.7593563136410818,153.0,52.47826086956522,0.33212996389891697,423.0
30,2009,MIN,33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
31,2009,BOS,62,150.0,23.0,38.0,4.0,1.0,7.0,23.0,1.0,0.0,11.0,37.0,0.0,2.0,0.0,1.0,6.0,500000,26.0,0.43333333333333335,0.31097560975609756,0.25333333333333335,0.744308943089431,65.0,19.782608695652176,0.2897196261682243,164.0
32,2009,KCA,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000,0.0,,,,,0.0,,,0.0
33,2009,SEA,56,155.0,18.0,33.0,10.0,0.0,4.0,13.0,1.0,0.0,13.0,43.0,1.0,0.0,0.0,2.0,2.0,405000,19.0,0.3548387096774194,0.27058823529411763,0.2129032258064516,0.6254269449715371,55.0,15.05952380952381,0.2636363636363636,170.0
34,2009,TBA,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000,0.0,,,,,0.0,,,0.0
35,2009,TOR,125,429.0,43.0,97.0,19.0,0.0,19.0,71.0,1.0,0.0,20.0,76.0,2.0,1.0,3.0,7.0,4.0,2500000,59.0,0.40326340326340326,0.25820568927789933,0.2261072261072261,0.6614690925413026,173.0,45.080178173719375,0.2287390029325513,460.0
36,2009,SLN,52,103.0,13.0,24.0,3.0,0.0,4.0,10.0,0.0,0.0,6.0,21.0,0.0,2.0,2.0,1.0,3.0,400000,17.0,0.3786407766990291,0.2857142857142857,0.23300970873786409,0.6643550624133148,39.0,10.73394495412844,0.25316455696202533,114.0
37,2009,WAS,90,274.0,20.0,63.0,18.0,0.0,6.0,31.0,0.0,1.0,24.0,50.0,1.0,1.0,1.0,1.0,5.0,1600000,39.0,0.3613138686131387,0.29333333333333333,0.22992700729927007,0.654647201946472,99.0,28.90268456375839,0.2602739726027397,301.0
38,2009,CLE,17,20.0,5.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,416100,7.0,0.45,0.4,0.4,0.8500000000000001,9.0,3.6,0.6153846153846154,20.0
39,2009,COL,154,550.0,69.0,135.0,32.0,3.0,23.0,76.0,12.0,10.0,31.0,121.0,2.0,10.0,6.0,7.0,6.0,1625000,77.0,0.44,0.29431438127090304,0.24545454545454545,0.734314381270903,242.0,69.14285714285714,0.2711864406779661,604.0
40,2009,TOR,7,18.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,600000,2.0,0.3333333333333333,0.21052631578947367,0.16666666666666666,0.5438596491228069,6.0,1.263157894736842,0.16666666666666666,19.0
