"player_id","year","stint","team_id","league_id","g","ab","r","h","double","triple","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","g_idp"
"aubremi01",2009,1,"BAL","AL",31,90.0,12.0,26.0,7.0,0.0,4.0,14.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,2.0
"augenbr01",2009,1,"ARI","NL",7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"aurilri01",2009,1,"SFN","NL",60,122.0,10.0,26.0,2.0,0.0,2.0,16.0,0.0,0.0,8.0,24.0,1.0,0.0,0.0,3.0,5.0
"ausmubr01",2009,1,"LAN","NL",36,95.0,9.0,28.0,4.0,0.0,1.0,9.0,1.0,0.0,5.0,21.0,0.0,2.0,5.0,0.0,1.0
"avilaal01",2009,1,"DET","AL",29,61.0,9.0,17.0,4.0,0.0,5.0,14.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,1.0,0.0
"avilemi01",2009,1,"KCA","AL",36,120.0,10.0,22.0,3.0,1.0,1.0,8.0,1.0,0.0,4.0,26.0,0.0,0.0,2.0,1.0,3.0
"axforjo01",2009,1,"MIL","NL",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ayalalu01",2009,1,"MIN","AL",28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"ayalalu01",2009,2,"FLO","NL",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"aybarer01",2009,1,"LAA","AL",137,504.0,70.0,157.0,23.0,9.0,5.0,58.0,14.0,7.0,30.0,54.0,1.0,5.0,12.0,5.0,9.0
"aybarwi01",2009,1,"TBA","AL",105,296.0,38.0,75.0,12.0,0.0,12.0,41.0,1.0,0.0,34.0,54.0,2.0,2.0,1.0,3.0,4.0
"backebr01",2009,1,"HOU","NL",5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
